symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source,vietstock_profile_url,vietstock_financial_url
SSB,HOSE,Ngân hàng TMCP Đông Nam Á,Southeast Asia Commercial Joint Stock Bank,STOCK,259.0,Đông Nam Á,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,2845000000,EXPANDED,https://finance.vietstock.vn/SSB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SSB/tai-chinh.htm?tab=BCTT
PGV,HOSE,Tổng Công ty Phát điện 3 - CTCP,Power Generation Joint Stock Corporation 3,STOCK,260.0,Phát điện 3 - CTCP,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,1123468046,EXPANDED,https://finance.vietstock.vn/PGV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PGV/tai-chinh.htm?tab=BCTT
ITA,UPCOM,CTCP Đầu tư và Công nghiệp Tân Tạo,Tan Tao Investment and Industry Corporation,STOCK,261.0,Đầu tư và Công nghiệp Tân Tạo,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,938463607,EXPANDED,https://finance.vietstock.vn/ITA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ITA/tai-chinh.htm?tab=BCTT
BCG,HOSE,CTCP Tập đoàn Bamboo Capital,Bamboo Capital Group Joint Stock Company,STOCK,262.0,Bamboo Capital,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Industrials,Capital Goods,Industrial Conglomerates,880210644,EXPANDED,https://finance.vietstock.vn/BCG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCG/tai-chinh.htm?tab=BCTT
VBB,UPCOM,Ngân hàng TMCP Việt Nam Thương Tín,Vietnam Thuong Tin Commercial Joint Stock Bank,STOCK,263.0,Việt Nam Thương Tín,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,821031970,EXPANDED,https://finance.vietstock.vn/VBB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VBB/tai-chinh.htm?tab=BCTT
BGE,UPCOM,CTCP BCG Energy,BCG Energy Joint Stock Company,STOCK,264.0,BCG Energy,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,730000000,EXPANDED,https://finance.vietstock.vn/BGE/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BGE/tai-chinh.htm?tab=BCTT
FLC,UPCOM,CTCP Tập đoàn FLC,FLC Group JSC,STOCK,265.0,FLC,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,709997807,EXPANDED,https://finance.vietstock.vn/FLC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FLC/tai-chinh.htm?tab=BCTT
DTK,HNX,Tổng Công ty Điện lực TKV - CTCP,Vinacomin - Power Holding Corporation,STOCK,266.0,Điện lực TKV - CTCP,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,682767475,EXPANDED,https://finance.vietstock.vn/DTK/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DTK/tai-chinh.htm?tab=BCTT
PVD,HOSE,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,PetroVietnam Drilling & Well Services Corporation,STOCK,267.0,Khoan và Dịch vụ khoan Dầu khí,Năng lượng,Năng lượng,Thiết bị và dịch vụ năng lượng,Energy,Energy,Energy Equipment & Services,556296006,EXPANDED,https://finance.vietstock.vn/PVD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PVD/tai-chinh.htm?tab=BCTT
HND,UPCOM,CTCP Nhiệt điện Hải Phòng,Hai Phong Thermal Power Joint Stock Company,STOCK,268.0,Nhiệt điện Hải Phòng,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,500000000,EXPANDED,https://finance.vietstock.vn/HND/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HND/tai-chinh.htm?tab=BCTT
PGB,UPCOM,Ngân hàng TMCP Thịnh vượng và Phát triển,Prosperity and Growth Commercial Joint Stock Bank,STOCK,269.0,Thịnh vượng và Phát triển,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,500000000,EXPANDED,https://finance.vietstock.vn/PGB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PGB/tai-chinh.htm?tab=BCTT
VSF,UPCOM,Tổng Công ty Lương thực Miền Nam - CTCP,Vietnam Southern Food Corporation - JSC,STOCK,270.0,Lương thực Miền Nam - CTCP,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,500000000,EXPANDED,https://finance.vietstock.vn/VSF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VSF/tai-chinh.htm?tab=BCTT
BCR,UPCOM,CTCP BCG Land,BCG Land Joint Stock Company,STOCK,271.0,BCG Land,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,473799913,EXPANDED,https://finance.vietstock.vn/BCR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCR/tai-chinh.htm?tab=BCTT
SJG,UPCOM,Tổng Công ty Sông Đà - CTCP,SONG DA CORPORATION - JSC,STOCK,272.0,Sông Đà - CTCP,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,449537112,EXPANDED,https://finance.vietstock.vn/SJG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SJG/tai-chinh.htm?tab=BCTT
DNH,UPCOM,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company,STOCK,273.0,Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,422400000,EXPANDED,https://finance.vietstock.vn/DNH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DNH/tai-chinh.htm?tab=BCTT
MPC,UPCOM,CTCP Tập đoàn Thủy sản Minh Phú,Minh Phu Seafood Corporation,STOCK,274.0,Thủy sản Minh Phú,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,400938300,EXPANDED,https://finance.vietstock.vn/MPC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/MPC/tai-chinh.htm?tab=BCTT
PVX,UPCOM,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,Petro Vietnam Construction Joint Stock Corporation,STOCK,275.0,Xây lắp Dầu khí Việt Nam,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,400000000,EXPANDED,https://finance.vietstock.vn/PVX/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PVX/tai-chinh.htm?tab=BCTT
CC1,UPCOM,Tổng Công ty Xây dựng Số 1 - CTCP,Construction Corporation No 1 Joint Stock Company,STOCK,276.0,Xây dựng Số 1 - CTCP,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,397906100,EXPANDED,https://finance.vietstock.vn/CC1/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CC1/tai-chinh.htm?tab=BCTT
THD,HNX,CTCP Thaiholdings,Thaiholdings Joint Stock Company,STOCK,277.0,Thaiholdings,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Industrials,Capital Goods,Trading Companies & Distributors,384999972,EXPANDED,https://finance.vietstock.vn/THD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/THD/tai-chinh.htm?tab=BCTT
SAM,HOSE,CTCP SAM Holdings,SAM Holdings Corporation,STOCK,278.0,SAM Holdings,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Industrials,Capital Goods,Electrical Equipment,379960971,EXPANDED,https://finance.vietstock.vn/SAM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SAM/tai-chinh.htm?tab=BCTT
SNZ,UPCOM,Tổng Công ty cổ phần Phát triển Khu Công nghiệp,Sonadezi Corporation,STOCK,279.0,Phát triển Khu Công nghiệp,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,376500000,EXPANDED,https://finance.vietstock.vn/SNZ/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SNZ/tai-chinh.htm?tab=BCTT
SSH,UPCOM,CTCP Phát triển Sunshine Homes,Sunshine Homes Development JSC,STOCK,280.0,Phát triển Sunshine Homes,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,375000000,EXPANDED,https://finance.vietstock.vn/SSH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SSH/tai-chinh.htm?tab=BCTT
QNS,UPCOM,CTCP Đường Quảng Ngãi,Quang Ngai Sugar Joint Stock Company,STOCK,281.0,Đường Quảng Ngãi,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,367648153,EXPANDED,https://finance.vietstock.vn/QNS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/QNS/tai-chinh.htm?tab=BCTT
VIF,HNX,Tổng Công ty Lâm nghiệp Việt Nam - CTCP,Vietnam Forestry Corporation - JSC,STOCK,282.0,Lâm nghiệp Việt Nam - CTCP,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Materials,Materials,Paper & Forest Products,350000000,EXPANDED,https://finance.vietstock.vn/VIF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VIF/tai-chinh.htm?tab=BCTT
SGB,UPCOM,Ngân hàng TMCP Sài Gòn Công Thương,Saigon Bank For Industry And Trade,STOCK,283.0,Sài Gòn Công Thương,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,338799141,EXPANDED,https://finance.vietstock.vn/SGB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SGB/tai-chinh.htm?tab=BCTT
