symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
AST,HOSE,CTCP Dịch vụ Hàng không Taseco,CTCP Dịch vụ Hàng không Taseco,Taseco Air Services JSC,CTCP Dịch vụ Hàng không Taseco - TASECO AIRS - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Công nghiệp,Vận tải,Hạ tầng giao thông,Cảng & Logistics,NORMAL,14,logistics,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/AST/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AST/tai-chinh.htm?tab=BCTT,OK,YES,Phân ngành dùng fallback watchlist
AVC,UPCOM,CTCP Thủy điện A Vương,CTCP Thủy điện A Vương,A Vuong Hydropower JSC,CTCP Thủy điện A Vương - AVHPC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/AVC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AVC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BCG,HOSE,CTCP Tập đoàn Bamboo Capital,CTCP Tập đoàn Bamboo Capital,Bamboo Capital Group Joint Stock Company,CTCP Tập đoàn Bamboo Capital - BCG - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BCG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BCR,UPCOM,CTCP BCG Land,CTCP BCG Land,BCG Land Joint Stock Company,CTCP BCG Land - BCG Land - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BCR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BCR/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BGE,UPCOM,CTCP BCG Energy,CTCP BCG Energy,BCG Energy Joint Stock Company,CTCP BCG Energy - BCG Energy - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BGE/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BGE/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BHA,UPCOM,CTCP Thủy điện Bắc Hà,CTCP Thủy điện Bắc Hà,Bac Ha Hydropower JSC,CTCP Thủy điện Bắc Hà - BHHC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BHA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BHA/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BII,UPCOM,CTCP Louis Land,CTCP Louis Land,Louis Land JSC,CTCP Đầu tư và Phát triển Công nghiệp Bảo Thư - BIDICO - Hồ sơ doanh nghiệp,MISMATCH_REVIEW,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BII/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BII/tai-chinh.htm?tab=BCTT,OK,YES,Tên VNStock khác Vietstock | Chưa map được ngành
BNW,UPCOM,CTCP Nước sạch Bắc Ninh,CTCP Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company,CTCP Nước sạch Bắc Ninh - BANIWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BNW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BNW/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BOT,UPCOM,CTCP BOT Cầu Thái Hà,CTCP BOT Cầu Thái Hà,Thai Ha Bridge BOT Joint Stock Company,"CTCP BOT Cầu Thái Hà - BOT CAU THAI HA.,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BOT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BOT/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BSA,UPCOM,CTCP Thủy điện Buôn Đôn,CTCP Thủy điện Buôn Đôn,Buon Don Hydropower JSC,CTCP Thủy điện Buôn Đôn - BDHC - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BSA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BSA/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
